MANZANA,HOGAR1,HOGAR2,HOGAR3,HOGAR4,HOGAR5,HOGAR6,HOGAR7,HOGAR10,HOGAR13,HOGAR16,HOGAR19,HOGAR22,HOGAR25,HOGAR26
0901000011190009,75,30,45,264,94,170,8,18,35,133,32,113,-6,4
0901000011190029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011190005,100,38,62,314,85,229,6,12,53,181,41,121,-6,7
0901000011190015,67,20,47,201,56,145,4,6,40,126,23,69,3,11
0901000011190013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011190014,74,25,49,241,78,163,4,8,40,158,30,75,4,14
0901000011190004,46,16,30,122,32,90,5,12,18,49,23,61,-6,3
0901000011190020,50,18,32,161,49,112,3,14,26,72,21,75,-6,8
0901000011190003,44,19,25,126,47,79,4,11,21,64,19,51,-6,3
0901000011190012,78,29,49,260,88,172,9,16,40,134,29,110,4,9
0901000011190011,51,22,29,172,82,90,0,0,20,61,31,111,-6,-6
090100001110A011,93,30,63,286,83,203,9,17,52,171,32,98,-6,3
0901000011222030,92,32,60,280,84,196,6,14,58,174,28,92,5,15
0901000011222029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011222028,22,13,9,75,43,32,-6,6,13,45,7,24,-6,-6
0901000011222026,32,13,19,117,45,72,-6,3,20,79,11,35,3,7
0901000011222022,7,4,3,32,15,17,0,0,5,23,-6,9,-6,3
0901000011222027,11,5,6,46,26,20,0,0,-6,6,9,40,0,0
0901000011222017,5,3,-6,19,14,5,0,0,3,8,-6,11,-6,3
0901000011222018,30,15,15,93,35,58,0,0,22,70,8,23,0,0
0901000011222023,8,0,8,25,0,25,0,0,4,15,4,10,0,0
0901000011237032,26,9,17,89,23,66,0,0,17,67,9,22,-6,3
0901000011237009,32,11,21,113,40,73,0,0,21,78,11,35,-6,3
0901000011237017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011190010,50,22,28,155,55,100,4,6,26,88,20,61,-6,-6