MANZANA,OID,SALUD1,SALUD2,SALUD3,SALUD4,SALUD5,SALUD6
0901000011190009,40080,188,63,122,42,5,0
0901000011190029,40213,0,0,0,0,0,0
0901000011190005,40214,235,79,152,56,3,10
0901000011190015,40217,158,43,99,25,7,10
0901000011190013,40218,0,0,0,0,0,0
0901000011190014,40219,165,72,121,19,10,0
0901000011190004,40220,76,42,62,13,0,0
0901000011190020,40221,101,60,81,11,0,3
0901000011190003,40222,87,39,58,16,9,3
0901000011190012,40223,196,63,125,40,24,0
0901000011190011,40224,133,39,91,30,0,0
090100001110A011,40253,207,79,117,44,20,3
0901000011222030,40254,212,86,137,48,7,0
0901000011222029,40255,0,0,0,0,0,0
0901000011222028,40256,57,18,42,15,0,0
0901000011222026,40257,78,39,62,19,3,0
0901000011222022,40258,16,16,5,3,3,0
0901000011222027,40259,33,13,16,14,0,0
0901000011222017,40260,18,0,16,5,0,0
0901000011222018,40261,66,25,46,14,0,0
0901000011222023,40262,20,5,14,5,0,0
0901000011237032,40279,68,21,50,11,4,0
0901000011237009,40280,78,35,65,7,4,0
0901000011237017,40281,0,0,0,0,0,0
0901000011190010,41647,96,59,64,23,0,0