MANZANA,OID,VIV0,VIV1,VIV2,VIV3,VIV6,VIV7,VIV8,VIV9,VIV10,VIV11,VIV12,VIV13,VIV14,VIV15,VIV16,VIV17,VIV18,VIV19,VIV20,VIV21,VIV22,VIV23,VIV24,VIV25,VIV26,VIV27,VIV28,VIV29,VIV30,VIV31,VIV32,VIV33,VIV34,VIV35,VIV36,VIV37,VIV38,VIV39,VIV40,VIV41
0901000011190009,40080,86,77,75,264,0,32,42,12,3,14,57,0,75,0,75,0,264,74,0,260,75,0,75,0,71,58,33,3,3,72,75,37,56,56,34,0,6,36,0,0
0901000011190029,40213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011190005,40214,110,100,100,314,0,28,72,11,5,13,82,0,100,0,100,0,314,100,0,314,100,0,100,0,96,87,52,4,4,98,99,65,88,76,53,0,5,33,0,0
0901000011190015,40217,76,67,67,201,4,33,34,12,6,12,49,0,67,0,67,0,201,67,0,199,66,0,66,0,62,54,38,4,3,63,67,43,54,56,37,0,0,22,0,0
0901000011190013,40218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011190014,40219,79,74,74,241,0,33,39,17,5,10,57,0,74,0,74,0,241,74,0,241,74,0,74,0,70,58,37,0,0,69,72,40,58,61,35,0,4,31,0,0
0901000011190004,40220,50,48,46,122,0,18,28,0,3,0,41,0,46,0,46,0,122,46,0,122,46,0,46,0,42,36,24,4,4,43,42,27,38,33,26,3,3,17,0,0
0901000011190020,40221,54,51,50,161,0,16,33,8,0,3,44,0,49,0,49,0,155,49,0,155,49,0,49,0,44,38,19,3,3,47,48,25,33,34,25,0,3,21,0,0
0901000011190003,40222,48,45,44,126,0,17,27,7,0,4,38,0,44,0,44,0,126,44,0,126,44,0,44,0,37,35,21,4,4,42,44,23,33,36,16,0,0,21,0,0
0901000011190012,40223,86,78,78,260,0,29,49,15,5,5,67,0,78,0,78,0,260,78,0,260,78,0,78,0,74,66,39,3,0,72,78,48,61,64,42,0,3,29,0,0
0901000011190011,40224,58,51,51,172,0,25,26,10,3,15,33,0,51,0,51,0,172,51,0,172,51,0,51,0,45,40,14,5,5,42,51,20,42,33,15,0,4,30,0,0
090100001110A011,40253,102,93,93,286,5,36,56,16,11,17,63,5,93,0,93,0,286,93,0,286,93,0,93,0,86,74,52,4,3,87,91,63,72,63,50,0,5,29,0,0
0901000011222030,40254,107,95,92,280,0,35,57,13,4,10,77,3,92,0,92,0,280,92,0,280,92,0,92,0,89,78,57,0,0,91,90,59,73,70,52,0,6,33,0,0
0901000011222029,40255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011222028,40256,26,23,22,75,0,4,18,3,0,0,22,0,22,0,22,0,75,22,0,75,22,0,22,0,22,21,14,0,0,21,22,16,22,18,13,0,0,6,0,0
0901000011222026,40257,41,35,32,117,0,15,17,10,3,3,26,0,32,0,32,0,117,31,0,113,31,0,31,0,30,25,12,0,0,31,31,16,24,22,12,0,0,16,0,0
0901000011222022,40258,7,7,7,32,0,3,3,3,0,0,5,0,6,0,6,0,28,6,0,28,6,0,6,0,6,5,0,0,0,6,6,4,6,6,3,0,0,0,0,0
0901000011222027,40259,11,11,11,46,0,0,10,0,0,0,11,0,11,0,11,0,46,11,0,46,11,0,11,0,10,10,6,0,0,11,11,7,10,8,7,0,0,4,0,0
0901000011222017,40260,5,5,5,19,0,0,3,0,0,0,0,0,5,0,5,0,19,5,0,19,5,0,5,0,5,4,0,0,0,5,5,3,3,3,3,0,0,0,0,0
0901000011222018,40261,39,30,30,93,0,14,16,6,0,6,23,0,30,0,30,0,93,28,0,84,29,0,29,0,30,24,14,0,0,29,29,16,21,26,12,0,0,14,0,0
0901000011222023,40262,10,8,8,25,0,0,7,0,0,0,6,0,8,0,8,0,25,8,0,25,8,0,8,0,8,7,4,0,0,8,8,0,8,5,3,0,0,5,0,0
0901000011237032,40279,26,26,26,89,0,7,19,3,0,0,23,0,26,0,26,0,89,26,0,89,26,0,26,0,26,24,12,0,0,25,25,16,24,21,13,0,0,10,0,0
0901000011237009,40280,32,32,32,113,0,12,20,9,3,7,22,0,32,0,32,0,113,32,0,113,32,0,32,0,29,24,10,3,3,32,31,14,21,23,8,0,0,18,0,0
0901000011237017,40281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011190010,41647,59,57,50,155,0,18,32,4,0,3,47,0,50,0,50,0,155,50,0,155,50,0,50,0,49,42,22,0,0,48,48,30,42,33,21,0,0,20,0,0